date,spy_drawdown,diagnosis,confidence,score_financial,score_rates_debt,score_services,score_inflation_energy
2026-06-12 08:51,-0.0287,generic,0.0,0.0,0.33,0.0,0.0
2026-06-12 13:13,-0.0287,generic,0.0,0.0,0.33,0.0,0.0
2026-06-12 22:03,-0.0235,generic,0.0,0.0,0.33,0.0,0.0
2026-06-15 22:17,-0.0062,generic,0.0,0.0,0.33,0.0,0.0
2026-06-16 22:15,-0.0122,generic,0.0,0.0,0.33,0.0,0.0
2026-06-17 22:11,-0.0245,generic,0.0,0.0,0.33,0.0,0.0
2026-06-18 22:15,-0.0169,generic,0.0,0.0,0.33,0.0,0.0
2026-06-19 21:52,-0.0144,generic,0.0,0.0,0.33,0.0,0.0
2026-06-22 22:12,-0.0175,generic,0.0,0.0,0.33,0.0,0.0
2026-06-23 21:59,-0.0317,generic,0.0,0.0,0.33,0.0,0.0
2026-06-24 21:57,-0.0322,generic,0.0,0.14,0.33,0.17,0.0
2026-06-25 22:01,-0.0308,generic,0.0,0.0,0.33,0.17,0.0
2026-06-26 21:53,-0.0378,generic,0.0,0.0,0.33,0.17,0.0
2026-06-29 21:56,-0.0219,generic,0.0,0.14,0.33,0.17,0.0
2026-06-30 21:59,-0.0143,generic,0.0,0.0,0.33,0.17,0.0
2026-07-01 22:01,-0.0157,generic,0.0,0.0,0.33,0.17,0.0
2026-07-02 21:51,-0.0169,generic,0.0,0.0,0.33,0.17,0.0
2026-07-03 22:32,-0.0169,generic,0.0,0.0,0.33,0.17,0.0
2026-07-06 22:44,-0.0084,generic,0.0,0.0,0.33,0.17,0.0
2026-07-07 22:35,-0.0131,generic,0.0,0.0,0.33,0.17,0.0
2026-07-08 22:30,-0.0161,generic,0.0,0.0,0.33,0.0,0.0
2026-07-09 22:48,-0.0078,generic,0.0,0.0,0.33,0.17,0.0
2026-07-10 22:31,-0.0035,generic,0.0,0.0,0.33,0.17,0.0
2026-07-13 22:25,-0.0112,generic,0.0,0.0,0.33,0.0,0.0
2026-07-14 22:28,-0.0076,generic,0.0,0.0,0.33,0.0,0.0
2026-07-15 22:27,-0.0037,generic,0.0,0.0,0.33,0.0,0.0
